run_timestamp,model_name,backtest_name,symbol,horizon,model_component,importance_type,feature_name,avg_raw_importance,median_raw_importance,max_raw_importance,avg_normalized_importance,median_normalized_importance,max_normalized_importance,avg_rank,best_rank,times_ranked,times_top_5,times_top_10,avg_return_pct_pred_when_ranked,avg_return_pct_actual_when_ranked,avg_loss_probability_when_ranked,buy_signal_count_when_ranked
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,gap_filled_intraday,0.0108753976871129,0.0106083608414207,0.0159131789510342,0.0108753976871129,0.0106083608414207,0.0159131789510342,28.166666666666668,14,18,0,0,-0.0113491379527354,-0.001968991774102,0.524265766181873,3
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,close_lag_45_ratio,0.0108119210236331,0.0115501950071761,0.0155945776174405,0.0108119210236331,0.0115501950071761,0.0155945776174405,29.88888888888889,14,9,0,0,-0.0159667891883079,0.0009383559017061,0.5395623617585177,1
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,return_volatility_20d,0.010665278120239,0.0099849699185948,0.0143993014779568,0.010665278120239,0.0099849699185948,0.0143993014779568,29.8,13,10,0,0,-0.0085104461661693,-0.0347390834675966,0.4829500388813884,3
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,close_location_in_range,0.0106035046975797,0.0099161318849889,0.0135795861698971,0.0106035046975797,0.0099161318849889,0.0135795861698971,29.0,17,7,0,0,-0.0046724157709344,-0.0316444445490475,0.4672056263128622,2
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,close_lag_33_ratio,0.010539093800273,0.0100920462430383,0.014118029005032,0.010539093800273,0.0100920462430383,0.014118029005032,30.25,13,4,0,0,-0.0152757472548557,0.0427001213342377,0.5829753869924093,0
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,return_lag_5,0.0105082328641389,0.0106576150465435,0.0118485177390657,0.0105082328641389,0.0106576150465435,0.0118485177390657,30.0,22,4,0,0,-0.016970847373805,0.044728738481102,0.5816209784461426,1
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,close_lag_30_ratio,0.0104352842600568,0.0084922287558171,0.015724013279688,0.0104352842600568,0.0084922287558171,0.015724013279688,30.818181818181817,11,11,0,0,-0.0097986980528254,0.0009485744661979,0.5125747429917564,3
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,close_lag_22_ratio,0.0104274609152845,0.0105770687584612,0.0125014836370847,0.0104274609152845,0.0105770687584612,0.0125014836370847,30.0,18,3,0,0,-0.0153752113443754,-0.0192253797367615,0.5284330193395298,0
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,return_20d_past,0.0102487689135133,0.009899599778935,0.0123104492675426,0.0102487689135133,0.009899599778935,0.0123104492675426,31.5,21,12,0,0,-0.0158257942173368,0.023416840060708,0.5669746253152421,0
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,close_above_ma_20,0.0102261399734649,0.0091496767030741,0.0152778814707646,0.0102261399734649,0.0091496767030741,0.0152778814707646,32.46153846153846,11,13,0,0,-0.0132327297937578,0.030121906500736,0.5469728586419133,1
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,return_3d_past,0.0102142758629578,0.0099900970221209,0.0128819565046072,0.0102142758629578,0.0099900970221209,0.0128819565046072,34.0,21,7,0,0,-0.0159554825593283,0.0224142145336443,0.5697481317145281,0
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,avg_high_low_range_20d,0.0101522790066155,0.0097057654391246,0.0133171121167191,0.0101522790066155,0.0097057654391246,0.0133171121167191,31.7,16,20,0,0,-0.01132923339154,0.0051011997636487,0.5283885850387184,3
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,ma_slope_7,0.0101396215489259,0.0095123748451898,0.0163074338473324,0.0101396215489259,0.0095123748451898,0.0163074338473324,32.6,12,10,0,0,-0.0104455752572473,-0.0170377428456834,0.5049269453299547,2
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,close_lag_32_ratio,0.0101080675048452,0.0099261431336555,0.0122703832525727,0.0101080675048452,0.0099261431336555,0.0122703832525727,32.0,22,6,0,0,-0.0070724630457246,-0.0019313184699635,0.5185775548460456,2
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,ma_slope_52,0.0100837937390287,0.0098613122245065,0.0114846932858396,0.0100837937390287,0.0098613122245065,0.0114846932858396,32.375,26,8,0,0,-0.0127519153737211,0.0373106803410736,0.5645708295888873,0
